id,name,calories,protein,fat,carbs,portion_size
777,Koro Benguk tempe,141,10.2,1.3,23.2,100
778,Koro Kerupuk biji,125,8.3,0.7,22.1,100
779,Koro Loke biji,33,2.7,0.2,7.9,100
780,Koro Roway biji,344,12.5,2.1,69.4,100
781,Koro Wedus biji,338,22.2,1.5,61,100
782,Koro Wedus buah muda,38,3,0.3,7.9,100
783,Koro wedus polong,46,3,0.3,7.9,100
784,Kotiu hinela tawang nggole,46,2.2,1.5,6,100
785,Koya,366,4.2,4.3,77.5,100
786,Koya mirasa,370,8,1,82.2,100
787,Kranji segar,315,2.1,1.4,73.5,100
788,Kripik Tempe Goreng ,542,40.3,42.4,11.5,100
789,Krokot,21,1.7,0.4,3.8,100
790,Kucai,45,2.2,0.3,10.3,100
791,Kucai Muda (Lokio),42,3.8,0.6,7.8,100
792,Kuda daging segar,113,18.1,4.1,0.9,100
793,Kue ali,440,3.8,18.5,64.5,100
794,Kue Apem ,186.7,1.6,1.6,39.6,100
795,Kue bangket,338,1.5,1.2,80.3,100
796,Kue Bugis ,240,1,4,54,100
797,Kue jahe,425,1.6,8.8,84.6,100
798,Kue kelapa,591,5.6,42.1,47.5,100
799,Kue Koya ,366,4.2,4.3,7.9,100
800,Kue lumpur,291,3.6,11.1,44.1,100
801,Kue mangkok ,182,1,1,40.4,100
802,Kue Pacar Cina ,126.7,0.7,0.7,57.3,100
803,Kue Pia ,296,1.4,1.4,66.4,100
804,Kue putu cangkir,304,5.3,7,54.9,100
805,Kue putu singkong,217,1.2,0.5,53.2,100
806,Kue Satu ,393.3,2.7,2.7,79.3,100
807,Kue Semprong ,380,1,1,92,100
808,Kue sus,221,7.5,10.2,24.8,100
809,Kue Talam ,180,5,5,32,100
810,Kue Tambang ,512,26,26,60.4,100
811,Kue thipan,247,2.9,4.2,49.5,100
812,Kulit melinjo,111,4.5,1.1,20.7,100
813,Kundur segar,22,0.4,0.2,4.7,100
814,Kunyit,63,2,2.7,9.1,100
815,Kura-kura,83,19.1,0.2,0,100
816,Kwaci,515,30.6,42.1,13.8,100
817,Kwark (Quark),242,19,17,3,100
818,Labu Air,17,0.6,0.2,3.8,100
819,Labu kuning segar,51,1.7,0.5,10,100
