id,name,calories,protein,fat,carbs,portion_size
1173,Susu Kedelai,41,3.5,2.5,5,100
1174,Susu Kental Manis,336,8.2,10,55,100
1175,Susu Kental Tak Manis,138,7,7.9,9.9,100
1176,Susu Kerbau,160,6.3,12,7.1,100
1177,Susu Sapi,61,3.2,3.5,4.3,100
1178,Susu Skim (tak berlemak),36,3.5,0.1,5.1,100
1179,Susu skim bubuk,359,35.6,1,52,100
1180,Susu skim segar,36,3.5,0.1,5.1,100
1181,Susupan,87,5.3,5.2,6.3,100
1182,Suweg kukus,90,1.5,0.1,21.9,100
1183,Suweg mentah,69,1,0.1,15.7,100
1184,Suweg talas segar,74,1.4,0.1,17.2,100
1185,Suwir-suwir,347,0.5,0.9,84.2,100
1186,Tahu,68,7.8,4.6,1.6,100
1187,Tahu goreng,115,9.7,8.5,2.5,100
1188,Tahu telur,328,12.6,19.9,24.6,100
1189,Takwa,148,13.8,8.5,4,100
1190,Talas bogor kukus,120,1.5,0.3,28.2,100
1191,Talas pontianak segar,163,2.3,0.5,36.4,100
1192,Talas viqueque segar,115,1.8,0.5,25.9,100
1193,Tales kukus,120,1.5,0.3,28.2,100
1194,Tales mentah,98,1.9,0.2,23.7,100
1195,Taoco,166,10.4,4.9,24.1,100
1196,Taoge goreng,88,3.2,2.1,14,100
1197,Taoge kacang kedelai segar,76,9,2.6,6.4,100
1198,Taoge seduh,28,3,0.8,4,100
1199,Taoge segar,34,3.7,1.2,4.3,100
1200,Taokoa,104,12.9,6.8,1.2,100
1201,Tapai beras,99,1.7,0.3,22.4,100
1202,Tapai ketan hitam,166,3.8,1,34.4,100
1203,Tapai ketan putih,172,3,0.5,37.5,100
1204,Tapai singkong,169,1.4,0.3,40.2,100
1205,Tauco cap DAS cake,358,7.5,4.3,70.4,100
1206,Tauji cap singa,277,9.1,4.7,49.6,100
1207,Tebu Terubuk,25,4.6,0.4,3,100
1208,Tedong pallu basa masakan,83,10.4,3.4,2.8,100
1209,Teh,132,19.5,0.7,67.8,100
1210,Teh hijau daun kering,300,28.3,4.8,53.6,100
1211,Teh melati daun kering,299,24.1,3.5,59,100
1212,Tekokak,34,2,0.1,7.9,100
1213,Tekokak kering,294,8.3,1.7,72.6,100
1214,Tekwan,53,1.9,0.9,9.4,100
1215,Telur Ayam,162,12.8,11.5,0.7,100
1216,Telur Ayam bagian kuning,361,19.3,31.9,0.7,100
1217,Telur Ayam bagian putih,50,10.8,0,0.8,100
1218,Telur Ayam ceplok,383,15.1,32.9,8.3,100
1219,Telur Ayam dadar,251,16.3,19.4,1.4,100
1220,Telur ayam kampung ,179,13.6,13.3,4.4,100
1221,Telur bebek bagian kuning segar,386,17,35,0.8,100
1222,Telur Bebek bagian putih,54,11,0,0.8,100
1223,Telur bebek bagian putih segar,54,11,0,0.8,100
1224,Telur Bebek ceplok,320,15.1,30.5,0.9,100
1225,Telur Bebek dadar,301,20,23.7,0,100
1226,Telur bebek tambak segar,187,10.9,12.4,7.9,100
1227,Telur Bebek telur asin,195,13.6,13.6,1.4,100
1228,Telur burung puyuh segar,116,10.7,7,1.6,100
1229,Telur Penyu,144,12,10.2,0,100
1230,Telur Terubuk,425,31,28,10,100
1231,Tempe bongkrek,119,4.4,3.5,18.3,100
1232,Tempe Gembus,73,5.7,1.3,4.2,100
1233,Tempe gembus yogya,76,6.8,0.7,10.6,100
1234,Tempe Goreng ,328,18.4,23.2,12.8,100
1235,Tempe kacang babi,139,12.5,0.8,21.9,100
1236,Tempe kacang belimbing,212,17.5,10,12.9,100
1237,Tempe kedelai + jagung,143,12,5.5,11.4,100
1238,Tempe kedelai murni goreng,350,24.5,26.6,10.4,100
1239,Tempe kedelai murni mentah,201,20.8,8.8,13.5,100
1240,Tempe koro benguk,141,10.2,1.3,23.2,100
1241,Tempe lamtoro var. gung dengan kulit,146,11.7,2.3,19.6,100
1242,Tempe lamtoro var. gung tanpa kulit,131,18,0.8,13,100
1243,Tempe pasar segar,150,14,7.7,9.1,100
1244,Tempe pasar goreng,336,20,28,7.8,100
1245,Tempe Sayur ,240,6,2.7,49.3,100
1246,Tempoya,110,1.7,1.3,21.9,100
1247,Tempuyak,126,1.1,2.2,25.7,100
1248,Tepung Arrowroot,355,0.7,0.2,85.2,100
1249,Tepung Beras,364,7,0.5,80,100
1250,Tepung beras mentah,353,7,0.5,80,100
1251,Tepung Ganyong,353,0.8,1.7,83.6,100
1252,Tepung Gaplek,363,1.1,0.5,88.2,100
1253,Tepung Garut (arrowroot),355,0.7,0.2,85.2,100
1254,Tepung Hunkwee,364,4.5,1,83.5,100
1255,Tepung Ikan,316,60.1,6.5,22.4,100
1256,Tepung Jagung Kuning,355,9.2,3.9,73.7,100
1257,Tepung jagung putih,355,9.2,3.9,73.7,100
1258,Tepung Jalejo,388,19,7.5,61.2,100
1259,Tepung Kacang Kedelai,347,35.9,20.6,29.9,100
1260,Tepung Kentang,347,0.3,0.1,85.6,100
1261,Tepung Mocaf,350,1.2,0.6,85,100
1262,Tepung Pisang,338,2.9,0.4,80.6,100
1263,Tepung Sagu,353,0.7,0.2,84.7,100
1264,Tepung Sente,326,4,0.4,76.7,100
1265,Tepung singkong/ Tapioka,363,1.1,0.5,88.2,100
1266,Tepung Sukun,353,2.9,0.5,84.4,100
1267,Tepung Susu,509,24.6,30,36.2,100
1268,Tepung Susu Asam untuk bayi,418,19,9,65.5,100
1269,Tepung Susu Skim,362,35.6,1,52,100
1270,Tepung Tales Beneng,332,5.7,0.6,76.1,100
1271,Tepung Terigu,365,8.9,1.3,77.3,100
1272,Tepung Ubi Ungu,354,2.8,0.6,84.4,100
1273,Terasi,155,22.3,2.9,9.9,100
1274,Terasi dobo,191,33.1,3.6,6.6,100
1275,Terasi Merah,174,30,3.5,3.5,100
1276,Terasi merah,174,30,3.5,5.6,100
1277,Teri balado masakan,365,23.7,22.3,17.5,100
1278,Teripang dendeng mentah,462,39.1,32.4,3.5,100
1279,Terong,24,1.1,0.2,5.5,100
1280,Terong + Oncom makanan,285,4.3,25.7,9.5,100
1281,Terong Asam,39,2.3,1.9,2,100
1282,Terong Belanda,48,1.5,0.3,11.3,100
1283,Terong hintalo segar,45,1.9,0.8,7.5,100
1284,Terong kukus,23,1.8,0.1,4.9,100
1285,Terong segar,28,1.1,0.2,5.5,100
1286,Terung belanda segar,52,2.1,1.1,8.6,100
1287,Terung bengkulu segar,52,1.1,0.4,11.2,100
1288,Terung panjang,25,2.1,0.1,5.3,100
1289,Terung panjang kukus,23,1.8,0.1,4.9,100
1290,Tespong daun,59,2.9,0.3,13.9,100
1291,Tim (nasi tim),120,2.4,0.4,26,100
1292,Tinira ninahu nggaluku,33,1.2,1.3,4.1,100
1293,Tinoransak masakan,516,17.7,49.5,0,100
1294,Tipa-tipa,355,6.2,1.2,79.8,100
1295,Tiwul  ,353,2.4,1.1,83.4,100
1296,Tiwul Instan,395,3.2,8.5,76.5,100
1297,Toge -Tahu makanan,392,5.4,28.5,28.4,100
1298,Toge Goreng ,93.6,4.4,1.8,15.1,100
1299,Toge kacang ijo,23,2.9,0.2,4.1,100
1300,Toge kacang tunggak,35,5,0.2,5.8,100
1301,Toge kedelai,67,9,2.6,6.4,100
1302,Toge seduh,28,3,0.8,4,100
1303,Tomat air (juice) segar,20,1,0.2,3.5,100
1304,Tomat Masak,20,1,0.3,4.2,100
1305,Tomat merah segar,24,1.3,0.5,4.7,100
1306,Tomat muda segar,24,2,0.7,3.3,100
1307,Tumis bandeng,189,11.3,15.7,0.6,100
1308,Tumis bayam bersantan,48,1.4,4.2,2.6,100
1309,Ubi Cilembu,186,1.9,0.2,44.3,100
1310,Ubi Jalar Goreng ,160,3.7,1.3,55.3,100
1311,Ubi jalar kuning kukus,100,0.7,0.3,23.8,100
1312,Ubi jalar kuning segar,119,0.5,0.4,25.1,100
1313,Ubi jalar manis segar,83,1.5,0.2,18.8,100
1314,Ubi Jalar Merah,123,1.8,0.7,27.9,100
1315,Ubi jalar merah segar,151,1.6,0.3,35.4,100
1316,Ubi Jalar Putih,123,1.8,0.7,27.9,100
1317,Ubi Jalar Rebus,114,1.4,9.6,25.6,100
1318,Ubi Jalar Sayur,184,1.4,0.3,22.5,100
1319,Ubi jalar tinta/ kemayung,108,0.5,0.4,25.6,100
1320,Ubi jalar tinta/ kemayung kukus,165,0.9,0.2,39.8,100
1321,Uceng/ bunga melinjo segar,82,5.8,1.3,11.7,100
1322,Udang besar segar,56,11.4,0.6,1.2,100
1323,Udang galah segar,81,16.5,0.3,3,100
1324,Udang kering,295,62.4,2.3,1.8,100
1325,Udang kering mentah,278,62.6,4.1,2.2,100
1326,Udang papay mentah,273,47.8,3.8,12.5,100
1327,Udang segar,91,21,0.2,0.1,100
1328,Ulat sagu panggang,380,11.9,30.3,14.9,100
1329,Ulat sagu segar,241,5.8,21.6,5.8,100
1330,Umbi Uwi segar,120,2.8,0.5,82.3,100
1331,Umbut rotan,34,2.4,0.3,5.5,100
1332,Usus Sapi,130,14,7.2,1.5,100
1333,Uwi,101,2,0.2,19.8,100
1334,Vermicelli,363,8.7,0.4,78.7,100
1335,Wajit camilan,303,6.3,2.7,63.3,100
1336,Waluh balamak,45,0.8,0.9,8.1,100
1337,Widaran,424,1.3,10.7,80.7,100
1338,Wijen,568,19.3,51.1,18.1,100
1339,Wingko babat,355,3.2,15.1,51.4,100
1340,Woku ubi,143,3.1,7.8,15,100
1341,Worst (sosis daging),452,14.5,42.3,2.3,100
1342,Wortel Segar,42,1.2,0.6,9.3,100
1343,Wortel kukus,37,1,0.6,8.3,100
1344,Wortel rebus,28,0.7,0.5,6.3,100
1345,Yangko,254,3,1.1,58.1,100
1346,Yoghurt,52,3.3,2.5,4,100
